Name,Class_Type,Namespace,Brick_Type,Location,Unit,ID
Chilled_Water_Pump_Primary_7,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_8,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_0,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_1,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_2,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_3,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_4,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_5,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_6,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_7,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Secondary_8,Equipment,BRICK,Chilled_Water_Pump,,,
Cooling_Tower_1_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_2_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_3_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_4_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_5_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_6_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_7_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Cooling_Tower_8_Fan,Equipment,BRICK,Cooling_Tower_Fan,,,
Condenser_Water_Return_Header,Equipment,EXT,Header,,,
Condenser_Water_Supply_Header,Equipment,EXT,Header,,,
Chilled_Water_Return_Header_1,Equipment,EXT,Header,,,
Chilled_Water_Return_Header_2,Equipment,EXT,Header,,,
Chilled_Water_Supply_Header_1,Equipment,EXT,Header,,,
Chilled_Water_Supply_Header_2,Equipment,EXT,Header,,,
Chiller_0_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_0,KiloW,CH0_PWR
Chiller_1_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_1,KiloW,CH1_PWR
Chiller_2_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_2,KiloW,CH2_PWR
Chiller_3_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_3,KiloW,CH3_PWR
Chiller_4_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_4,KiloW,CH4_PWR
Chiller_5_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_5,KiloW,CH5_PWR
Chiller_6_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_6,KiloW,CH6_PWR
Chiller_7_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chiller_7,KiloW,CH7_PWR
Chiller_0_Status,Sensor,BRICK,On_Off_Status,Chiller_0,UNITLESS,CH0_STS
Chiller_1_Status,Sensor,BRICK,On_Off_Status,Chiller_1,UNITLESS,CH1_STS
Chiller_2_Status,Sensor,BRICK,On_Off_Status,Chiller_2,UNITLESS,CH2_STS
Chiller_3_Status,Sensor,BRICK,On_Off_Status,Chiller_3,UNITLESS,CH3_STS
Chiller_4_Status,Sensor,BRICK,On_Off_Status,Chiller_4,UNITLESS,CH4_STS
Chiller_5_Status,Sensor,BRICK,On_Off_Status,Chiller_5,UNITLESS,CH5_STS
Chiller_6_Status,Sensor,BRICK,On_Off_Status,Chiller_6,UNITLESS,CH6_STS
Chiller_7_Status,Sensor,BRICK,On_Off_Status,Chiller_7,UNITLESS,CH7_STS
Condenser_0_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_0,L-PER-SEC,CDW_CH0_F
Condenser_1_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_1,L-PER-SEC,CDW_CH1_F
Condenser_2_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_2,L-PER-SEC,CDW_CH2_F
Condenser_3_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_3,L-PER-SEC,CDW_CH3_F
Condenser_4_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_4,L-PER-SEC,CDW_CH4_F
Condenser_5_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_5,L-PER-SEC,CDW_CH5_F
Condenser_6_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_6,L-PER-SEC,CDW_CH6_F
Condenser_7_Water_Flow_Sensor,Sensor,BRICK,Water_Flow_Sensor,Chiller_7,L-PER-SEC,CDW_CH7_F
Condenser_0_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_0,DEG_C,CDWR_CH0_T
Condenser_1_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_1,DEG_C,CDWR_CH1_T
Condenser_2_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_2,DEG_C,CDWR_CH2_T
Condenser_3_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_3,DEG_C,CDWR_CH3_T
Condenser_4_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_4,DEG_C,CDWR_CH4_T
Condenser_5_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_5,DEG_C,CDWR_CH5_T
Condenser_6_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_6,DEG_C,CDWR_CH6_T
Condenser_7_Water_Return_Temperature_Sensor,Sensor,BRICK,Return_Condenser_Water_Temperature_Sensor,Chiller_7,DEG_C,CDWR_CH7_T
Cooling_Tower_1_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_1,KiloW,CT0_KW
Cooling_Tower_2_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_2,KiloW,CT1_KW
Cooling_Tower_3_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_3,KiloW,CT2_KW
Cooling_Tower_4_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_4,KiloW,CT3_KW
Cooling_Tower_5_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_5,KiloW,CT4_KW
Cooling_Tower_6_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_6,KiloW,CT5_KW
Cooling_Tower_7_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_7,KiloW,CT6_KW
Cooling_Tower_8_Power_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_8,KiloW,CT7_KW
Cooling_Tower_1_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_1,KiloW-HR,CT0_KWH
Cooling_Tower_2_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Cooling_Tower_2,KiloW-HR,CT1_KWH
